id,smiles,energy,stability_score,molecular_weight,fluorine_count,logp,tpsa,rotatable_bonds,hbd,hba,optimization_converged,generation_time,created_at
1846,CCC(F)(c1ccccc1F)C(F)F,22.822551720109406,100.0,206.18199999999996,4,3.665600000000002,0.0,3,0,0,1,0.010370731353759766,2025-05-27 09:45:24
4044,FC(F)C1CCCC(F)(F)CC1,22.824066521167737,100.0,184.17599999999996,4,3.467100000000002,0.0,1,0,0,1,0.008439302444458008,2025-05-27 09:45:32
808,CCC(F)(CF)c1ccccc1F,22.860385573061183,100.0,188.19199999999998,3,3.370000000000002,0.0,3,0,0,1,0.013147592544555664,2025-05-27 09:45:21
9544,CC1CCC(F)CC(F)(F)C1,22.92042602037405,100.0,166.18599999999998,3,3.169900000000002,0.0,0,0,0,1,0.007144451141357422,2025-05-27 09:45:46
3600,CC1CC(F)CCC(F)C1(F)F,22.959304287488667,100.0,184.176,4,3.1179000000000023,0.0,0,0,0,1,0.010038137435913086,2025-05-27 09:45:29
184,CCC(F)(F)c1c(F)cc(F)cc1F,23.04467401104077,100.0,210.14499999999992,5,3.6057000000000015,0.0,2,0,0,1,0.008520126342773438,2025-05-27 09:45:21
125,CC1CCCCC(F)C1(F)F,23.07417167982359,100.0,166.18599999999998,3,3.169900000000002,0.0,0,0,0,1,0.010246038436889648,2025-05-27 09:45:21
2997,FCC1CCCC(F)(F)C(F)C1,23.078551946401728,100.0,184.176,4,3.119500000000002,0.0,1,0,0,1,0.028305768966674805,2025-05-27 09:45:29
9132,FCC(F)(F)C(c1ccccc1F)C(F)F,23.11422325627046,100.0,242.16199999999992,6,3.7792000000000012,0.0,4,0,0,1,0.013233184814453125,2025-05-27 09:45:46
3602,CC(F)C(F)(c1ccccc1)C(F)F,23.162592269482005,100.0,206.18199999999993,4,3.4745000000000017,0.0,3,0,0,1,0.01309657096862793,2025-05-27 09:45:29
6441,CC1CC(F)(F)C(F)CCC1F,23.181203693504926,100.0,184.17599999999996,4,3.1179000000000023,0.0,0,0,0,1,0.010151863098144531,2025-05-27 09:45:38
2829,FCC1CCCC(F)CC1,23.191176589650247,95.0,148.19599999999997,2,2.8743000000000016,0.0,1,0,0,1,0.010922670364379883,2025-05-27 09:45:26
2157,CC(F)(CCF)c1c(F)cccc1F,23.222081933883672,100.0,206.18199999999996,4,3.509100000000002,0.0,3,0,0,1,0.015204906463623047,2025-05-27 09:45:26
793,CC1(F)CCC(F)CC(F)C1,23.26278203854031,100.0,166.18599999999998,3,2.964800000000001,0.0,0,0,0,1,0.00926661491394043,2025-05-27 09:45:21
2233,FCC1(F)CCCCC(F)(F)C1,23.30042479367678,100.0,184.176,4,3.263600000000002,0.0,1,0,0,1,0.008502960205078125,2025-05-27 09:45:26
3357,CC1CCC(F)(F)CC(F)C1(F)F,23.352791079998166,85.0,202.16599999999997,5,3.4151000000000025,0.0,0,0,0,1,0.009627819061279297,2025-05-27 09:45:29
2081,CC1CCCCCC1F,23.413430495036053,75.0,130.206,1,2.9247000000000014,0.0,0,0,0,1,0.011635065078735352,2025-05-27 09:45:26
4933,CC1CCC(F)(F)CC(F)C1F,23.46717037422006,100.0,184.17599999999996,4,3.1179000000000023,0.0,0,0,0,1,0.011686086654663086,2025-05-27 09:45:32
4462,FCC1CCC(F)CC(F)(F)C1,23.48625410599774,100.0,184.17599999999996,4,3.119500000000002,0.0,1,0,0,1,0.008939743041992188,2025-05-27 09:45:32
5398,CC1CCC(F)(F)CCC1F,23.516987380188823,100.0,166.18599999999995,3,3.169900000000002,0.0,0,0,0,1,0.008941173553466797,2025-05-27 09:45:35
5961,CC(F)(F)C(F)(CF)c1cccc(F)c1,23.553163569357384,100.0,224.17199999999994,5,3.6152000000000015,0.0,3,0,0,1,0.016884803771972656,2025-05-27 09:45:35
1866,CC1(F)CCCCCC1(F)F,23.57106302755758,100.0,166.18599999999998,3,3.314000000000002,0.0,0,0,0,1,0.011595487594604492,2025-05-27 09:45:24
7877,FCC(F)C(c1cccc(F)c1)C(F)F,23.59101225504768,100.0,224.17199999999994,5,3.482000000000002,0.0,4,0,0,1,0.011701345443725586,2025-05-27 09:45:41
1940,CC1CCCCC(F)C1F,23.592936013832,95.0,148.19599999999997,2,2.872700000000002,0.0,0,0,0,1,0.010404825210571289,2025-05-27 09:45:24
4154,CC1CCC(F)(F)CC(F)(F)C1,23.598219965871483,100.0,184.17599999999996,4,3.467100000000002,0.0,0,0,0,1,0.011913776397705078,2025-05-27 09:45:32
4704,CCC(F)CC(F)(F)C(C)F,23.633842592373835,100.0,172.16499999999996,4,3.1179000000000023,0.0,4,0,0,1,0.006271839141845703,2025-05-27 09:45:32
4299,CC(CCF)c1c(F)ccc(F)c1F,23.648869525896934,100.0,206.18199999999996,4,3.567000000000002,0.0,3,0,0,1,0.016211509704589844,2025-05-27 09:45:32
7135,CC1CC(F)(F)CCC(F)(F)C1,23.6739789068752,100.0,184.17599999999996,4,3.467100000000002,0.0,0,0,0,1,0.012111425399780273,2025-05-27 09:45:41
8326,CC(F)(F)C(c1ccccc1)C(F)F,23.69825417726006,100.0,206.18199999999993,4,3.690500000000002,0.0,3,0,0,1,0.016638755798339844,2025-05-27 09:45:43
2024,FCC1CCCCCC1F,23.732770775039036,95.0,148.19599999999997,2,2.8743000000000016,0.0,1,0,0,1,0.03532147407531738,2025-05-27 09:45:26
5634,FC(F)C1CCC(F)(F)CC(F)(F)C1,23.750899980001112,85.0,220.15599999999995,6,3.7123000000000017,0.0,1,0,0,1,0.011223793029785156,2025-05-27 09:45:35
5281,CC1(F)CCC(F)(F)CC(F)C1,23.833299740584014,100.0,184.176,4,3.2620000000000022,0.0,0,0,0,1,0.01054525375366211,2025-05-27 09:45:35
5250,CC1(F)CCC(F)CCC1F,23.85348717722124,100.0,166.18599999999998,3,2.964800000000001,0.0,0,0,0,1,0.011644363403320312,2025-05-27 09:45:35
3219,CCC(F)(c1ccc(F)cc1F)C(F)F,23.87607473900773,100.0,224.17199999999994,5,3.8047000000000013,0.0,3,0,0,1,0.01312708854675293,2025-05-27 09:45:29
